vendor;nomor_kontainer;size;tanggal_awal;tanggal_akhir;tarif;adjustment;group;status
ZONA;TEXU7210230;40;2025-04-06;2025-05-05;1261261;-84084;Z02;ongoing
ZONA;TEXU7210230;40;2025-05-06;2025-06-05;1261261;0;Z02;ongoing
ZONA;TEXU7210230;40;2025-06-06;2025-07-05;1261261;0;Z02;ongoing
ZONA;TEXU7210230;40;2025-07-06;2025-07-25;1261261;42042;Z02;ongoing
ZONA;PCIU9765813;40;2024-07-08;2024-08-07;1261261;0;Z15;ongoing
ZONA;TGHU9508962;40;2024-07-09;2024-08-08;1261261;0;Z15;ongoing
ZONA;NYKU5515880;40;2024-07-10;2024-08-09;1261261;0;Z15;ongoing
ZONA;PONU7225703;40;2024-07-09;2024-08-08;1261261;0;Z15;ongoing
ZONA;PCIU9765813;40;2024-08-08;2024-09-07;1261261;0;Z15;ongoing
ZONA;TGHU9508962;40;2024-08-09;2024-09-08;1261261;0;Z15;ongoing
ZONA;NYKU5515880;40;2024-08-10;2024-09-09;1261261;0;Z15;ongoing
ZONA;PONU7225703;40;2024-08-10;2024-09-09;1261261;0;Z15;ongoing
ZONA;PCIU9765813;40;2024-09-08;2024-10-07;1261261;0;Z15;ongoing
ZONA;TGHU9508962;40;2024-09-09;2024-10-08;1261261;0;Z15;ongoing
ZONA;NYKU5515880;40;2024-09-10;2024-10-09;1261261;0;Z15;ongoing
ZONA;PONU7225703;40;2024-09-10;2024-10-09;1261261;0;Z15;ongoing
ZONA;PCIU9765813;40;2024-10-08;2024-11-07;1261261;0;Z15;ongoing
ZONA;TGHU9508962;40;2024-10-09;2024-11-08;1261261;0;Z15;ongoing
ZONA;NYKU5515880;40;2024-10-10;2024-11-09;1261261;0;Z15;ongoing
ZONA;PONU7225703;40;2024-10-10;2024-11-09;1261261;0;Z15;ongoing
ZONA;PCIU9765813;40;2024-11-08;2024-12-05;1261261;0;Z15;ongoing
ZONA;TGHU9508962;40;2024-11-09;2024-12-09;1261261;0;Z15;ongoing
ZONA;NYKU5515880;40;2024-11-10;2024-12-09;1261261;0;Z15;ongoing
ZONA;PONU7225703;40;2024-11-09;2024-12-03;1261261;0;Z15;ongoing
ZONA;DNAU2622206;20;2025-01-11;2025-02-10;675676;0;Z27;ongoing
