vendor,nomor_kontainer,size,tanggal_awal,tanggal_akhir,tarif,adjustment,periode,group,status
ZONA,GESU5114504,40,2024-10-08,2024-11-07,Bulanan,0,8,Z23,ongoing
ZONA,GESU5114504,40,2024-11-08,2024-12-07,Bulanan,0,9,Z23,ongoing
ZONA,GESU5114504,40,2024-12-08,2025-01-07,Bulanan,0,10,Z23,ongoing
ZONA,GESU5114504,40,2025-01-08,2025-02-07,Bulanan,0,11,Z23,ongoing
ZONA,GESU5114504,40,2025-02-08,2025-03-07,Bulanan,0,12,Z23,ongoing
ZONA,GESU5114504,40,2025-03-08,2025-04-07,Bulanan,-294294,13,Z23,ongoing
ZONA,GESU5114504,40,2025-04-08,2025-05-07,Bulanan,0,14,Z23,ongoing
ZONA,GESU5114504,40,2025-05-08,2025-06-07,Bulanan,0,15,Z23,ongoing
ZONA,GESU5114504,40,2025-06-08,2025-07-07,Bulanan,0,16,Z23,ongoing
ZONA,GESU5114504,40,2025-07-08,2025-08-07,Bulanan,0,17,Z23,ongoing
ZONA,GESU5114504,40,2025-08-08,2025-09-07,Bulanan,0,18,Z23,ongoing
ZONA,GESU5114504,40,2025-09-08,2025-09-24,Harian,0,19,Z23,ongoing
ZONA,BMOU4192536,40,2024-07-10,2024-08-09,Bulanan,0,2,Z04,ongoing
ZONA,BMOU4393401,40,2024-07-10,2024-08-09,Bulanan,0,2,Z04,ongoing
ZONA,BMOU4192536,40,2024-08-10,2024-09-09,Bulanan,0,3,Z04,ongoing
ZONA,BMOU4393401,40,2024-08-10,2024-08-28,Harian,0,3,Z04,ongoing
ZONA,BMOU4192536,40,2024-09-10,2024-10-09,Bulanan,0,4,Z04,ongoing
ZONA,BMOU4192536,40,2024-10-10,2024-11-09,Bulanan,0,5,Z04,ongoing
ZONA,BMOU4192536,40,2024-11-10,2024-12-09,Bulanan,0,6,Z04,ongoing
ZONA,BMOU4192536,40,2024-12-10,2025-01-09,Bulanan,0,7,Z04,ongoing
ZONA,BMOU4192536,40,2025-01-10,2025-02-09,Bulanan,0,8,Z04,ongoing
ZONA,BMOU4192536,40,2025-02-10,2025-03-09,Bulanan,0,9,Z04,ongoing
ZONA,BMOU4192536,40,2025-03-10,2025-04-09,Bulanan,-294294,10,Z04,ongoing
ZONA,BMOU4192536,40,2025-04-10,2025-05-09,Bulanan,0,11,Z04,ongoing
ZONA,BMOU4192536,40,2025-05-10,2025-06-09,Bulanan,0,12,Z04,ongoing
ZONA,BMOU4192536,40,2025-06-10,2025-07-09,Bulanan,0,13,Z04,ongoing
ZONA,BMOU4192536,40,2025-07-10,2025-08-09,Bulanan,0,14,Z04,ongoing
ZONA,BMOU4192536,40,2025-08-10,2025-09-09,Bulanan,0,15,Z04,ongoing
ZONA,BMOU4192536,40,2025-09-10,2025-09-24,Harian,0,16,Z04,ongoing
ZONA,MSKU4555445,40,2024-07-14,2024-08-13,Bulanan,0,2,Z06,ongoing
ZONA,TEXU5531307,40,2024-07-14,2024-08-13,Bulanan,0,2,Z06,ongoing
ZONA,MSKU4555445,40,2024-08-14,2024-09-13,Bulanan,0,3,Z06,ongoing
ZONA,TEXU5531307,40,2024-08-14,2024-09-13,Bulanan,0,3,Z06,ongoing
ZONA,MSKU4555445,40,2024-09-14,2024-10-13,Bulanan,0,4,Z06,ongoing
ZONA,TEXU5531307,40,2024-09-14,2024-10-13,Bulanan,0,4,Z06,ongoing
ZONA,MSKU4555445,40,2024-10-14,2024-11-13,Bulanan,0,5,Z06,ongoing
ZONA,TEXU5531307,40,2024-10-14,2024-11-13,Bulanan,0,5,Z06,ongoing
ZONA,MSKU4555445,40,2024-11-14,2024-12-13,Bulanan,0,6,Z06,ongoing
ZONA,TEXU5531307,40,2024-11-14,2024-12-13,Bulanan,0,6,Z06,ongoing
ZONA,MSKU4555445,40,2024-12-14,2025-01-13,Bulanan,0,7,Z06,ongoing
ZONA,TEXU5531307,40,2024-12-14,2024-12-20,Harian,42042,7,Z06,ongoing
ZONA,MSKU4555445,40,2025-01-14,2025-02-13,Bulanan,0,8,Z06,ongoing
ZONA,MSKU4555445,40,2025-02-14,2025-03-13,Bulanan,0,9,Z06,ongoing
ZONA,MSKU4555445,40,2025-03-14,2025-04-13,Bulanan,-294294,10,Z06,ongoing
ZONA,MSKU4555445,40,2025-04-14,2025-05-13,Bulanan,0,11,Z06,ongoing
ZONA,MSKU4555445,40,2025-05-14,2025-06-13,Bulanan,0,12,Z06,ongoing
ZONA,MSKU4555445,40,2025-06-14,2025-07-13,Bulanan,0,13,Z06,ongoing
ZONA,MSKU4555445,40,2025-07-14,2025-08-13,Bulanan,0,14,Z06,ongoing
ZONA,MSKU4555445,40,2025-08-14,2025-09-13,Bulanan,0,15,Z06,ongoing
ZONA,MSKU4555445,40,2025-09-14,2025-09-24,Harian,0,16,Z06,ongoing
ZONA,INKU6744298,40,2024-08-05,2024-09-04,Bulanan,0,2,Z01,ongoing
ZONA,INKU6744298,40,2024-09-05,2024-10-04,Bulanan,0,3,Z01,ongoing
ZONA,INKU6744298,40,2024-10-05,2024-11-04,Bulanan,0,4,Z01,ongoing
ZONA,INKU6744298,40,2024-11-05,2024-12-04,Bulanan,0,5,Z01,ongoing
ZONA,INKU6744298,40,2024-12-05,2024-12-24,Harian,0,6,Z01,ongoing
ZONA,MSCU7085120,40,2024-08-06,2024-09-05,Bulanan,0,2,Z02,ongoing
ZONA,TEXU7210230,40,2024-08-06,2024-09-05,Bulanan,0,2,Z02,ongoing
ZONA,XXXU9902224,40,2024-08-06,2024-09-05,Bulanan,0,2,Z02,ongoing
ZONA,MSCU7085120,40,2024-09-06,2024-10-05,Bulanan,0,3,Z02,ongoing
