Awalan Kontainer;Nomor Seri;Akhiran;Ukuran;Vendor;Nomor Kontainer;
EMCU;600987;2;20;PT. ZONA LINTAS SAMUDERA;6009872;
EMCU;603884;4;20;PT. ZONA LINTAS SAMUDERA;6038844;
EMCU;604550;3;20;PT. ZONA LINTAS SAMUDERA;6045503;
EMCU;606323;5;20;PT. ZONA LINTAS SAMUDERA;6063235;
EMCU;608944;0;20;PT. ZONA LINTAS SAMUDERA;6089440;
EMCU;966403;4;40;PT. ZONA LINTAS SAMUDERA;9664034;
EMLU;807074;9;40;PT. ZONA LINTAS SAMUDERA;8070749;
EMSU;987169;2;40;PT. ZONA LINTAS SAMUDERA;9871692;
EOLU;221262;3;20;PT. ZONA LINTAS SAMUDERA;2212623;
EOLU;329697;4;20;PT. ZONA LINTAS SAMUDERA;3296974;
FCIU;240531;1;20;PT. ZONA LINTAS SAMUDERA;2405311;
FCIU;246292;3;20;PT. ZONA LINTAS SAMUDERA;2462923;
FCIU;254130;2;20;PT. ZONA LINTAS SAMUDERA;2541302;
FCIU;261611;9;20;PT. ZONA LINTAS SAMUDERA;2616119;
FCIU;266890;9;20;PT. ZONA LINTAS SAMUDERA;2668909;
FCIU;292251;0;20;PT. ZONA LINTAS SAMUDERA;2922510;
FCIU;332499;7;20;PT. ZONA LINTAS SAMUDERA;3324997;
FCIU;349308;7;20;PT. ZONA LINTAS SAMUDERA;3493087;
FCIU;350036;0;20;PT. ZONA LINTAS SAMUDERA;3500360;
FCIU;929839;1;40;PT. ZONA LINTAS SAMUDERA;9298391;
FDSU;468005;8;40;PT. ZONA LINTAS SAMUDERA;4680058;
FORU;202477;9;20;PT. ZONA LINTAS SAMUDERA;2024779;
FORU;292876;0;20;PT. ZONA LINTAS SAMUDERA;2928760;
FORU;841628;9;20;PT. ZONA LINTAS SAMUDERA;8416289;
FORU;848089;0;20;PT. ZONA LINTAS SAMUDERA;8480890;
FORU;848720;9;20;PT. ZONA LINTAS SAMUDERA;8487209;
FSCU;330821;2;20;PT. ZONA LINTAS SAMUDERA;3308212;
FSCU;338078;9;20;PT. ZONA LINTAS SAMUDERA;3380789;
FSCU;617169;5;40;PT. ZONA LINTAS SAMUDERA;6171695;
FSCU;739914;4;20;PT. ZONA LINTAS SAMUDERA;7399144;
FSCU;756877;4;20;PT. ZONA LINTAS SAMUDERA;7568774;
FSCU;760818;3;20;PT. ZONA LINTAS SAMUDERA;7608183;
FSCU;780050;8;20;PT. ZONA LINTAS SAMUDERA;7800508;
FSCU;783023;0;20;PT. ZONA LINTAS SAMUDERA;7830230;
FSCU;829515;0;40;PT. ZONA LINTAS SAMUDERA;8295150;
FUKU;296928;4;20;PT. ZONA LINTAS SAMUDERA;2969284;
FUKU;366435;9;20;PT. ZONA LINTAS SAMUDERA;3664359;
GAEU;750522;7;40;PT. ZONA LINTAS SAMUDERA;7505227;
GATU;009644;4;20;PT. ZONA LINTAS SAMUDERA;0096444;
GATU;077933;2;20;PT. ZONA LINTAS SAMUDERA;0779332;
