Group;Kontainer;Awal;Akhir;Ukuran; Harga ;Periode;Status;Hari; DPP ;Keterangan; QTY Disc ; adjustment ; Pembulatan ; ppn ; pph ; grand_total ;No.InvoiceVendor;Tgl.InvVendor;No.Bank;Tgl.Bank;OK;Approval;x;Group;;;;;;;;x
Z17;EISU9153844;15 Mar 24;14 Apr 24;40; 1.261.261 ;3;Bulanan;31; 1.261.261 ;; 9 ;-378.378 ;; 97.117 ; 17.658 ; 962.342 ;ZONA24.03.22928;03 May 24;EBK240500209;20 May 24;OK;;Up;Z17;;;;;;;;
Z17;GESU4838932;15 Mar 24;14 Apr 24;40; 1.261.261 ;3;Bulanan;31; 1.261.261 ;; 9 ;-378.378 ;; 97.117 ; 17.658 ; 962.342 ;ZONA24.03.22928;03 May 24;EBK240500209;20 May 24;OK;;Up;Z17;;;;;;;;
Z17;REGU5043662;15 Mar 24;14 Apr 24;40; 1.261.261 ;3;Bulanan;31; 1.261.261 ;; 9 ;-378.378 ;; 97.117 ; 17.658 ; 962.342 ;ZONA24.03.22928;03 May 24;EBK240500209;20 May 24;OK;;Up;Z17;;;;;;;;
Z17;AMFU8640522;15 Apr 24;24 Apr 24;40; 1.261.261 ;4;Harian;10; 420.420 ;;; -   ;; 46.246 ; 8.408 ; 458.258 ;ZONA24.05.23405;03 May 24;;;OK;07 Oct 25;Up;Z17;;;;;;;;
Z17;EISU9153844;15 Apr 24;20 Apr 24;40; 1.261.261 ;4;Harian;6; 252.252 ;;; -   ;; 27.748 ; 5.045 ; 274.955 ;ZONA24.05.23405;03 May 24;;;OK;07 Oct 25;Up;Z17;;;;;;;;
Z17;GESU4838932;15 Apr 24;14 May 24;40; 1.261.261 ;4;Bulanan;30; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.05.23405;03 May 24;;;OK;07 Oct 25;Up;Z17;;;;;;;;
Z17;REGU5043662;15 Apr 24;14 May 24;40; 1.261.261 ;4;Bulanan;30; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.05.23405;03 May 24;;;OK;07 Oct 25;Up;Z17;;;;;;;;
Z17;GESU4838932;15 May 24;14 Jun 24;40; 1.261.261 ;5;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.09.24877;02 Sep 24;EBK250100275;30 Jan 25;OK;;Up;Z17;;;;;;;;
Z17;REGU5043662;15 May 24;14 Jun 24;40; 1.261.261 ;5;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.09.24877;02 Sep 24;EBK250100275;30 Jan 25;OK;;Up;Z17;;;;;;;;
Z17;GESU4838932;15 Jun 24;14 Jul 24;40; 1.261.261 ;6;Bulanan;30; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.09.24878;02 Sep 24;EBK250100275;30 Jan 25;OK;;Up;Z17;;;;;;;;
Z17;REGU5043662;15 Jun 24;14 Jul 24;40; 1.261.261 ;6;Bulanan;30; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.09.24878;02 Sep 24;EBK250100275;30 Jan 25;OK;;Up;Z17;;;;;;;;
Z17;GESU4838932;15 Jul 24;14 Aug 24;40; 1.261.261 ;7;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.09.24879;02 Sep 24;EBK250100275;30 Jan 25;OK;;Up;Z17;;;;;;;;
Z17;REGU5043662;15 Jul 24;14 Aug 24;40; 1.261.261 ;7;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.09.24879;02 Sep 24;EBK250100275;30 Jan 25;OK;;Up;Z17;;;;;;;;
Z17;GESU4838932;15 Aug 24;14 Sep 24;40; 1.261.261 ;8;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.09.24880;02 Sep 24;EBK250100275;30 Jan 25;OK;;Up;Z17;;;;;;;;
Z17;REGU5043662;15 Aug 24;14 Sep 24;40; 1.261.261 ;8;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.09.24880;02 Sep 24;EBK250100275;30 Jan 25;OK;;Up;Z17;;;;;;;;
Z17;GESU4838932;15 Sep 24;14 Oct 24;40; 1.261.261 ;9;Bulanan;30; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.11.25963;20 Nov 24;EBK250100275;30 Jan 25;OK;;Up;Z17;;;;;;;;
