"vendor";"nomor_kontainer";"size";"group";"tanggal_awal";"tanggal_akhir";"periode";"masa";"tarif";"dpp";"dpp_nilai_lain";"ppn";"pph";"grand_total";"status";"computed_periode"
"DPE";"RXTU4540180";"40";"D005";"2025-03-04";"";"4";"4 juni 2025 - 3 juli 2025";"Bulanan";"1500000.00";"1375000.00";"165000.00";"30000.00";"1635000.00";"";"6"
"DPE";"RXTU4540180";"40";"D005";"2025-03-04";"";"5";"4 juli 2025 - 3 agustus 2025";"Bulanan";"1500000.00";"1375000.00";"165000.00";"30000.00";"1635000.00";"";"6"
"DPE";"RXTU4540180";"40";"D005";"2025-03-04";"";"6";"4 agustus 2025 - 3 september 2025";"Bulanan";"1500000.00";"1375000.00";"165000.00";"30000.00";"1635000.00";"";"6"
"ZONA";"GESU5114504";"40";"Z001";"2024-03-08";"";"1";"8 maret 2024 - 7 april 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"18"
"ZONA";"GESU5114504";"40";"Z001";"2024-03-08";"";"2";"8 april 2024 - 7 mei 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"18"
"ZONA";"GESU5114504";"40";"Z001";"2024-03-08";"";"3";"8 mei 2024 - 7 juni 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"18"
"ZONA";"GESU5114504";"40";"Z001";"2024-03-08";"";"4";"8 juni 2024 - 7 juli 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"18"
"ZONA";"GESU5114504";"40";"Z001";"2024-03-08";"";"5";"8 juli 2024 - 7 agustus 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"18"
"ZONA";"GESU5114504";"40";"Z001";"2024-03-08";"";"6";"8 agustus 2024 - 7 september 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"18"
"ZONA";"GESU5114504";"40";"Z001";"2024-03-08";"";"7";"8 september 2024 - 7 oktober 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"18"
"ZONA";"GESU5114504";"40";"Z001";"2024-03-08";"";"8";"8 oktober 2024 - 7 november 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"18"
"ZONA";"GESU5114504";"40";"Z001";"2024-03-08";"";"9";"8 november 2024 - 7 desember 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"18"
"ZONA";"GESU5114504";"40";"Z001";"2024-03-08";"";"10";"8 desember 2024 - 7 januari 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"18"
"ZONA";"GESU5114504";"40";"Z001";"2024-03-08";"";"11";"8 januari 2025 - 7 februari 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"18"
"ZONA";"GESU5114504";"40";"Z001";"2024-03-08";"";"12";"8 februari 2025 - 7 maret 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"18"
"ZONA";"GESU5114504";"40";"Z001";"2024-03-08";"";"13";"8 maret 2025 - 7 april 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"18"
"ZONA";"GESU5114504";"40";"Z001";"2024-03-08";"";"14";"8 april 2025 - 7 mei 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"18"
"ZONA";"GESU5114504";"40";"Z001";"2024-03-08";"";"15";"8 mei 2025 - 7 juni 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"18"
"ZONA";"GESU5114504";"40";"Z001";"2024-03-08";"";"16";"8 juni 2025 - 7 juli 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"18"
"ZONA";"GESU5114504";"40";"Z001";"2024-03-08";"";"17";"8 juli 2025 - 7 agustus 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"18"
"ZONA";"GESU5114504";"40";"Z001";"2024-03-08";"";"18";"8 agustus 2025 - 7 september 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"18"
"ZONA";"BMOU4192536";"40";"Z002";"2024-06-10";"";"1";"10 juni 2024 - 9 juli 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
